               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.057066,            0.050761,          0.00039115,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032836,           0.0032836,            0.070448
                   1,             0.05073,            0.052883,          0.00027607,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0062894,           0.0062894,             0.04012
                   2,            0.049429,            0.051614,          0.00016712,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0089652,           0.0089652,           0.0094627
                   3,             0.04957,            0.053432,          0.00032455,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                   4,            0.046215,            0.051991,          0.00013053,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                   5,            0.045348,            0.051593,          0.00039876,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                   6,            0.045002,            0.053885,          0.00039161,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                   7,            0.043503,            0.051677,          0.00050918,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                   8,            0.043817,             0.05151,          0.00014483,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                   9,            0.043969,            0.053666,          0.00045736,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  10,            0.044519,             0.05355,          0.00045449,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.044301,            0.052953,          0.00028244,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.043585,            0.053912,          0.00038345,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  13,            0.043727,             0.05387,          0.00029732,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.042658,            0.052583,          0.00034245,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  15,            0.042124,            0.052066,          0.00036502,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  16,             0.04177,            0.053055,          0.00030602,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.041488,            0.053165,          0.00032134,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.041059,             0.05224,          0.00026183,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001585,            0.001585,            0.001585
                  19,            0.040889,            0.052298,          0.00020779,             0.73042,             0.61314,             0.65063,             0.29114,            0.045266,            0.020165,          4.9097e-05,             0.00109,             0.00109,             0.00109
                   0,            0.056568,            0.043994,          0.00039947,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0031884,           0.0031884,            0.071304
                   1,            0.052167,            0.045764,          0.00040392,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0061071,           0.0061071,            0.041856
                   2,            0.052041,            0.044822,          0.00015766,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0087053,           0.0087053,            0.012087
                   3,            0.050074,            0.046635,          0.00039709,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
